Found 209 primers in BED file
Amplicons detected: 

Number of references in file: 1
MN908947.3
Using Region: MN908947.3

Found 431320 mapped reads
Found 0 unmapped reads
Sorted By Coordinate
-------
Processed 10% reads ... 
Processed 20% reads ... 
Processed 30% reads ... 
Processed 40% reads ... 
Processed 50% reads ... 
Processed 60% reads ... 
Processed 70% reads ... 
Processed 80% reads ... 
Processed 90% reads ... 
Processed 100% reads ... 

-------
Results: 
Primer Name	Read Count
SARS-CoV-2_1_LEFT	101
SARS-CoV-2_2_LEFT	110
SARS-CoV-2_1_RIGHT	31
SARS-CoV-2_3_LEFT	170
SARS-CoV-2_2_RIGHT	13
SARS-CoV-2_4_LEFT	235
SARS-CoV-2_3_RIGHT	129
SARS-CoV-2_5_LEFT	40
SARS-CoV-2_4_RIGHT	124
SARS-CoV-2_6_LEFT	608
SARS-CoV-2_5_RIGHT	138
SARS-CoV-2_7_LEFT	399
SARS-CoV-2_6_RIGHT	328
SARS-CoV-2_8_LEFT	141
SARS-CoV-2_7_RIGHT	187
SARS-CoV-2_9_LEFT	222
SARS-CoV-2_8_RIGHT	18
SARS-CoV-2_10_LEFT_alt1	59
SARS-CoV-2_10_LEFT	388
SARS-CoV-2_9_RIGHT	279
SARS-CoV-2_11_LEFT	140
SARS-CoV-2_10_RIGHT_alt1	131
SARS-CoV-2_10_RIGHT	131
SARS-CoV-2_12_LEFT	437
SARS-CoV-2_11_RIGHT	51
SARS-CoV-2_13_LEFT	441
SARS-CoV-2_12_RIGHT	389
SARS-CoV-2_14_LEFT	98
SARS-CoV-2_13_RIGHT	539
SARS-CoV-2_15_LEFT	113
SARS-CoV-2_14_RIGHT	25
SARS-CoV-2_16_LEFT	41
SARS-CoV-2_15_RIGHT	30
SARS-CoV-2_17_LEFT	82
SARS-CoV-2_16_RIGHT	63
SARS-CoV-2_18_LEFT	466
SARS-CoV-2_17_RIGHT	236
SARS-CoV-2_19_LEFT	278
SARS-CoV-2_18_RIGHT	414
SARS-CoV-2_20_LEFT	27
SARS-CoV-2_19_RIGHT	186
SARS-CoV-2_21_LEFT	60
SARS-CoV-2_20_RIGHT	45
SARS-CoV-2_22_LEFT	5
SARS-CoV-2_21_RIGHT	30
SARS-CoV-2_23_LEFT	13
SARS-CoV-2_22_RIGHT	24
SARS-CoV-2_24_LEFT	23
SARS-CoV-2_23_RIGHT	63
SARS-CoV-2_23_RIGHT_alt1	1
SARS-CoV-2_25_LEFT	185
SARS-CoV-2_24_RIGHT	15
SARS-CoV-2_26_LEFT	525
SARS-CoV-2_25_RIGHT	506
SARS-CoV-2_27_LEFT	420
SARS-CoV-2_26_RIGHT	312
SARS-CoV-2_28_LEFT	146
SARS-CoV-2_27_RIGHT_alt1	259
SARS-CoV-2_27_RIGHT	10
SARS-CoV-2_29_LEFT	110
SARS-CoV-2_28_RIGHT	412
SARS-CoV-2_30_LEFT	112
SARS-CoV-2_29_RIGHT	194
SARS-CoV-2_31_LEFT	21
SARS-CoV-2_30_RIGHT	167
SARS-CoV-2_32_LEFT	8
SARS-CoV-2_31_RIGHT	42
SARS-CoV-2_33_LEFT	14
SARS-CoV-2_32_RIGHT	11
SARS-CoV-2_34_LEFT	356
SARS-CoV-2_33_RIGHT	111
SARS-CoV-2_35_LEFT	723
SARS-CoV-2_34_RIGHT	567
SARS-CoV-2_36_LEFT	617
SARS-CoV-2_35_RIGHT	893
SARS-CoV-2_37_LEFT	428
SARS-CoV-2_36_RIGHT	213
SARS-CoV-2_38_LEFT	584
SARS-CoV-2_37_RIGHT	684
SARS-CoV-2_39_LEFT	379
SARS-CoV-2_38_RIGHT	365
SARS-CoV-2_40_LEFT	422
SARS-CoV-2_39_RIGHT	364
SARS-CoV-2_41_LEFT	244
SARS-CoV-2_40_RIGHT	492
SARS-CoV-2_42_LEFT	444
SARS-CoV-2_41_RIGHT	333
SARS-CoV-2_43_LEFT	85
SARS-CoV-2_42_RIGHT	314
SARS-CoV-2_44_LEFT	373
SARS-CoV-2_43_RIGHT	137
SARS-CoV-2_45_LEFT	18
SARS-CoV-2_44_RIGHT	280
SARS-CoV-2_46_LEFT	67
SARS-CoV-2_45_RIGHT	52
SARS-CoV-2_47_LEFT	295
SARS-CoV-2_46_RIGHT	5
SARS-CoV-2_48_LEFT	679
SARS-CoV-2_47_RIGHT	144
SARS-CoV-2_49_LEFT	284
SARS-CoV-2_48_RIGHT	315
SARS-CoV-2_50_LEFT	493
SARS-CoV-2_49_RIGHT	516
SARS-CoV-2_51_LEFT	225
SARS-CoV-2_50_RIGHT	239
SARS-CoV-2_52_LEFT	297
SARS-CoV-2_51_RIGHT	278
SARS-CoV-2_53_LEFT	548
SARS-CoV-2_52_RIGHT	284
SARS-CoV-2_54_LEFT	525
SARS-CoV-2_53_RIGHT	248
SARS-CoV-2_55_LEFT	135
SARS-CoV-2_54_RIGHT	574
